M,N,K
16, 1536, 7168
16, 576, 7168
16, 7168, 256
16, 4608, 7168
16, 7168, 2304
16, 512, 7168
32, 1536, 7168
32, 576, 7168
32, 7168, 256
32, 4608, 7168
32, 7168, 2304
32, 512, 7168
64, 1536, 7168
64, 576, 7168
64, 7168, 256
64, 4608, 7168
64, 7168, 2304
64, 512, 7168
128, 1536, 7168
128, 576, 7168
128, 7168, 256
128, 4608, 7168
128, 7168, 2304
128, 512, 7168
128, 4096, 1280
128, 1024, 4096
256, 1536, 7168
256, 576, 7168
256, 7168, 256
256, 4608, 7168
256, 7168, 2304
256, 512, 7168
512, 1536, 7168
512, 576, 7168
512, 7168, 256
512, 4608, 7168
512, 7168, 2304
512, 512, 7168
1024, 1536, 7168
1024, 576, 7168
1024, 7168, 256
1024, 4608, 7168
1024, 7168, 2304
1024, 512, 7168
1536, 1536, 7168
1536, 576, 7168
1536, 7168, 256
1536, 4608, 7168
1536, 7168, 2304
1536, 512, 7168
2048, 1536, 7168
2048, 576, 7168
2048, 7168, 256
2048, 4608, 7168
2048, 7168, 2304
2048, 512, 7168
4096, 1536, 7168
4096, 576, 7168
4096, 7168, 256
4096, 4608, 7168
4096, 7168, 2304
4096, 512, 7168
8192, 1536, 7168
8192, 576, 7168
8192, 7168, 256
8192, 4608, 7168
8192, 7168, 2304
8192, 512, 7168
16384, 1536, 7168
16384, 576, 7168
16384, 7168, 256
16384, 4608, 7168
16384, 7168, 2304
16384, 512, 7168
20480, 1536, 7168
20480, 576, 7168
20480, 7168, 256
20480, 4608, 7168
20480, 7168, 2304
20480, 512, 7168
1, 1024, 2048
1, 12288, 2048
1, 2048, 4096
1, 2048, 512
1, 9216, 2048
1024, 1024, 2048
1024, 12288, 2048
1024, 2048, 4096
1024, 2048, 512
1024, 9216, 2048
1025, 1024, 2048
1025, 12288, 2048
1025, 2048, 4096
1025, 2048, 512
1025, 9216, 2048
1027, 1024, 2048
1027, 12288, 2048
1027, 2048, 4096
1027, 2048, 512
1027, 9216, 2048
1031, 1024, 2048
1031, 12288, 2048
1031, 2048, 4096
1031, 2048, 512
1031, 9216, 2048
1039, 1024, 2048
1039, 12288, 2048
1039, 2048, 4096
1039, 2048, 512
1039, 9216, 2048
1040, 1024, 2048
1040, 12288, 2048
1040, 2048, 4096
1040, 2048, 512
1040, 9216, 2048
1041, 1024, 2048
1041, 12288, 2048
1041, 2048, 4096
1041, 2048, 512
1041, 9216, 2048
1072, 1024, 2048
1072, 12288, 2048
1072, 2048, 4096
1072, 2048, 512
1072, 9216, 2048
1073, 1024, 2048
1073, 12288, 2048
1073, 2048, 4096
1073, 2048, 512
1073, 9216, 2048
1077, 1024, 2048
1077, 12288, 2048
1077, 2048, 4096
1077, 2048, 512
1077, 9216, 2048
1091, 1024, 2048
1091, 12288, 2048
1091, 2048, 4096
1091, 2048, 512
1091, 9216, 2048
112, 1024, 2048
112, 12288, 2048
112, 2048, 4096
112, 2048, 512
112, 9216, 2048
128, 1024, 2048
128, 12288, 2048
128, 2048, 4096
128, 2048, 512
128, 9216, 2048
1343, 1024, 2048
1343, 12288, 2048
1343, 2048, 4096
1343, 2048, 512
1343, 9216, 2048
16, 1024, 2048
16, 12288, 2048
16, 2048, 4096
16, 2048, 512
16, 9216, 2048
1688, 1024, 2048
1688, 12288, 2048
1688, 2048, 4096
1688, 2048, 512
1688, 9216, 2048
2, 1024, 2048
2, 12288, 2048
2, 2048, 4096
2, 2048, 512
2, 9216, 2048
2017, 1024, 2048
2017, 12288, 2048
2017, 2048, 4096
2017, 2048, 512
2017, 9216, 2048
2048, 1024, 2048
2048, 12288, 2048
2048, 2048, 4096
2048, 2048, 512
2048, 9216, 2048
2050, 1024, 2048
2050, 12288, 2048
2050, 2048, 4096
2050, 2048, 512
2050, 9216, 2048
2063, 1024, 2048
2063, 12288, 2048
2063, 2048, 4096
2063, 2048, 512
2063, 9216, 2048
2064, 1024, 2048
2064, 12288, 2048
2064, 2048, 4096
2064, 2048, 512
2064, 9216, 2048
2099, 1024, 2048
2099, 12288, 2048
2099, 2048, 4096
2099, 2048, 512
2099, 9216, 2048
2159, 1024, 2048
2159, 12288, 2048
2159, 2048, 4096
2159, 2048, 512
2159, 9216, 2048
2160, 1024, 2048
2160, 12288, 2048
2160, 2048, 4096
2160, 2048, 512
2160, 9216, 2048
2313, 1024, 2048
2313, 12288, 2048
2313, 2048, 4096
2313, 2048, 512
2313, 9216, 2048
2325, 1024, 2048
2325, 12288, 2048
2325, 2048, 4096
2325, 2048, 512
2325, 9216, 2048
256, 1024, 2048
256, 12288, 2048
256, 2048, 4096
256, 2048, 512
256, 9216, 2048
3072, 1024, 2048
3072, 12288, 2048
3072, 2048, 4096
3072, 2048, 512
3072, 9216, 2048
3073, 1024, 2048
3073, 12288, 2048
3073, 2048, 4096
3073, 2048, 512
3073, 9216, 2048
3182, 1024, 2048
3182, 12288, 2048
3182, 2048, 4096
3182, 2048, 512
3182, 9216, 2048
3183, 1024, 2048
3183, 12288, 2048
3183, 2048, 4096
3183, 2048, 512
3183, 9216, 2048
32, 1024, 2048
32, 12288, 2048
32, 2048, 4096
32, 2048, 512
32, 9216, 2048
3847, 1024, 2048
3847, 12288, 2048
3847, 2048, 4096
3847, 2048, 512
3847, 9216, 2048
4, 1024, 2048
4, 12288, 2048
4, 2048, 4096
4, 2048, 512
4, 9216, 2048
4096, 1024, 2048
4096, 12288, 2048
4096, 2048, 4096
4096, 2048, 512
4096, 9216, 2048
4111, 1024, 2048
4111, 12288, 2048
4111, 2048, 4096
4111, 2048, 512
4111, 9216, 2048
4141, 1024, 2048
4141, 12288, 2048
4141, 2048, 4096
4141, 2048, 512
4141, 9216, 2048
4142, 1024, 2048
4142, 12288, 2048
4142, 2048, 4096
4142, 2048, 512
4142, 9216, 2048
4345, 1024, 2048
4345, 12288, 2048
4345, 2048, 4096
4345, 2048, 512
4345, 9216, 2048
48, 1024, 2048
48, 12288, 2048
48, 2048, 4096
48, 2048, 512
48, 9216, 2048
5105, 1024, 2048
5105, 12288, 2048
5105, 2048, 4096
5105, 2048, 512
5105, 9216, 2048
512, 1024, 2048
512, 12288, 2048
512, 2048, 4096
512, 2048, 512
512, 9216, 2048
5121, 1024, 2048
5121, 12288, 2048
5121, 2048, 4096
5121, 2048, 512
5121, 9216, 2048
5123, 1024, 2048
5123, 12288, 2048
5123, 2048, 4096
5123, 2048, 512
5123, 9216, 2048
5131, 1024, 2048
5131, 12288, 2048
5131, 2048, 4096
5131, 2048, 512
5131, 9216, 2048
5427, 1024, 2048
5427, 12288, 2048
5427, 2048, 4096
5427, 2048, 512
5427, 9216, 2048
6113, 1024, 2048
6113, 12288, 2048
6113, 2048, 4096
6113, 2048, 512
6113, 9216, 2048
6197, 1024, 2048
6197, 12288, 2048
6197, 2048, 4096
6197, 2048, 512
6197, 9216, 2048
64, 1024, 2048
64, 12288, 2048
64, 2048, 4096
64, 2048, 512
64, 9216, 2048
6409, 1024, 2048
6409, 12288, 2048
6409, 2048, 4096
6409, 2048, 512
6409, 9216, 2048
667, 1024, 2048
667, 12288, 2048
667, 2048, 4096
667, 2048, 512
667, 9216, 2048
671, 1024, 2048
671, 12288, 2048
671, 2048, 4096
671, 2048, 512
671, 9216, 2048
7121, 1024, 2048
7121, 12288, 2048
7121, 2048, 4096
7121, 2048, 512
7121, 9216, 2048
7168, 1024, 2048
7168, 12288, 2048
7168, 2048, 4096
7168, 2048, 512
7168, 9216, 2048
7169, 1024, 2048
7169, 12288, 2048
7169, 2048, 4096
7169, 2048, 512
7169, 9216, 2048
7172, 1024, 2048
7172, 12288, 2048
7172, 2048, 4096
7172, 2048, 512
7172, 9216, 2048
7176, 1024, 2048
7176, 12288, 2048
7176, 2048, 4096
7176, 2048, 512
7176, 9216, 2048
7177, 1024, 2048
7177, 12288, 2048
7177, 2048, 4096
7177, 2048, 512
7177, 9216, 2048
7178, 1024, 2048
7178, 12288, 2048
7178, 2048, 4096
7178, 2048, 512
7178, 9216, 2048
7179, 1024, 2048
7179, 12288, 2048
7179, 2048, 4096
7179, 2048, 512
7179, 9216, 2048
7183, 1024, 2048
7183, 12288, 2048
7183, 2048, 4096
7183, 2048, 512
7183, 9216, 2048
7184, 1024, 2048
7184, 12288, 2048
7184, 2048, 4096
7184, 2048, 512
7184, 9216, 2048
7209, 1024, 2048
7209, 12288, 2048
7209, 2048, 4096
7209, 2048, 512
7209, 9216, 2048
7210, 1024, 2048
7210, 12288, 2048
7210, 2048, 4096
7210, 2048, 512
7210, 9216, 2048
7211, 1024, 2048
7211, 12288, 2048
7211, 2048, 4096
7211, 2048, 512
7211, 9216, 2048
7217, 1024, 2048
7217, 12288, 2048
7217, 2048, 4096
7217, 2048, 512
7217, 9216, 2048
7273, 1024, 2048
7273, 12288, 2048
7273, 2048, 4096
7273, 2048, 512
7273, 9216, 2048
7274, 1024, 2048
7274, 12288, 2048
7274, 2048, 4096
7274, 2048, 512
7274, 9216, 2048
7391, 1024, 2048
7391, 12288, 2048
7391, 2048, 4096
7391, 2048, 512
7391, 9216, 2048
